File Number,Rarity Score,Position
869,3908.01,1
2300,3891.48,2
2839,3889.99,3
2796,3856.83,4
5956,3626.85,5
96,3582.03,6
13,3338.72,7
341,3306.97,8
329,3281.08,9
6554,3197.35,10
5255,3181.09,11
2613,3157.47,12
4366,3143.78,13
2881,3111.16,14
2114,3094.33,15
3513,3055.57,16
5785,3046.93,17
1841,2937.74,18
2432,2926.25,19
640,2911.96,20
2829,2894.75,21
2821,2882.39,22
6149,2868.46,23
1109,2859.96,24
2157,2801.06,25
6473,2764.84,26
4555,2755.77,27
5039,2742.94,28
5560,2683.04,29
4249,2681.56,30
1886,2660.63,31
1040,2657.95,32
483,2644.65,33
711,2640.89,34
1374,2638.8,35
5780,2634.01,36
453,2632.48,37
4759,2623.44,38
6058,2611.94,39
718,2609.35,40
3632,2600.69,41
3045,2597.44,42
3220,2596.3,43
233,2572.08,44
2746,2567.29,45
1532,2563.62,46
2084,2559.37,47
5698,2552.16,48
444,2550.77,49
29,2535.77,50
6589,2534.84,51
3016,2524.77,52
2180,2516.84,53
2354,2512.28,54
1812,2511.34,55
978,2500.48,56
4454,2478.16,57
5305,2475.74,58
6359,2451.81,59
1494,2451.65,60
388,2432.6,61
5530,2410.96,62
2583,2407.42,63
3201,2405.66,64
3533,2401.38,65
4740,2390.31,66
1343,2389.81,67
418,2389.6,68
1625,2386.47,69
4725,2382.76,70
4899,2373.09,71
5206,2371.22,72
6438,2362.48,73
5003,2354.27,74
1650,2353.46,75
356,2349.84,76
4414,2347.67,77
1215,2331.51,78
4801,2330.56,79
4429,2329.73,80
4976,2324.05,81
5945,2323.36,82
756,2317.63,83
1829,2316.42,84
3927,2303.53,85
3012,2301.57,86
5120,2288.68,87
3548,2287.41,88
5454,2285.44,89
524,2281.64,90
5792,2272.73,91
2726,2266.61,92
4119,2263.47,93
675,2257.9,94
2383,2257.36,95
1985,2254.04,96
1487,2250.79,97
4301,2234.93,98
4391,2232.39,99
996,2225.55,100
5227,2222.22,101
1253,2220.66,102
4076,2216.68,103
6452,2211.1,104
5219,2195.29,105
5807,2183.77,106
5174,2182.52,107
83,2182.38,108
3921,2179.52,109
2494,2179.52,110
3343,2171.92,111
798,2171.67,112
5061,2167.23,113
4245,2165.25,114
2421,2162,115
5935,2160.85,116
6023,2153.7,117
2897,2149.14,118
5324,2144.38,119
4263,2136.78,120
4077,2135.59,121
4271,2132.84,122
175,2129.16,123
241,2124.66,124
3504,2124.32,125
6401,2109.53,126
5404,2108.61,127
657,2105.88,128
4008,2105.48,129
538,2101.71,130
5318,2095.38,131
4721,2092.51,132
2972,2090.63,133
6643,2089.1,134
5462,2089.07,135
1693,2079.58,136
5128,2077.82,137
815,2076.36,138
2394,2076.16,139
690,2070.68,140
3130,2068.93,141
5121,2065.1,142
5095,2064.76,143
5457,2061,144
918,2058.93,145
407,2058.47,146
4530,2051.34,147
3973,2048.11,148
3803,2047.29,149
4915,2041.49,150
6164,2041.15,151
5024,2036.61,152
4051,2033.76,153
2119,2030.98,154
4182,2021.21,155
687,2012.72,156
3500,2008.93,157
1870,2006.61,158
436,2005.5,159
1295,2002.43,160
3541,1999.28,161
1543,1998.51,162
4587,1995.67,163
4347,1995.53,164
6551,1991.78,165
381,1989.25,166
5526,1985.98,167
3912,1985.6,168
1508,1984.64,169
3234,1983.78,170
6067,1981.49,171
1986,1981.37,172
3151,1981.17,173
1311,1974.28,174
4667,1973.92,175
3833,1973.7,176
4685,1972.62,177
2759,1964.32,178
50,1962.85,179
1872,1958.42,180
2985,1957.31,181
2346,1956.47,182
2302,1954.85,183
2548,1952.72,184
3396,1952.55,185
6618,1951.56,186
4939,1946.84,187
2722,1943.61,188
2810,1942.58,189
5303,1940.54,190
1602,1938.66,191
2540,1934,192
863,1930.55,193
5873,1925.75,194
2460,1916.98,195
2366,1916.61,196
2219,1915.75,197
4649,1907.47,198
2419,1905.96,199
5453,1902.54,200
3827,1901.87,201
5470,1900.97,202
998,1899.84,203
4751,1899.34,204
4983,1898.71,205
1332,1893.83,206
6561,1887.64,207
4770,1887.08,208
3707,1887.04,209
5,1884.44,210
567,1881.64,211
2535,1880.61,212
5155,1871.2,213
5176,1866.37,214
4368,1864.71,215
6446,1857.66,216
2974,1855.99,217
5183,1855.29,218
279,1852.04,219
3768,1851.13,220
6173,1849.84,221
3807,1849.51,222
4764,1849.41,223
5030,1848.62,224
3584,1846.43,225
4580,1842.25,226
253,1836.9,227
1928,1836.49,228
4073,1836.06,229
4481,1832.32,230
794,1831.76,231
2101,1828.22,232
5553,1824.56,233
4847,1823.41,234
225,1821.84,235
2585,1818.24,236
3610,1816.12,237
6580,1815.51,238
5918,1810.76,239
986,1809.43,240
2322,1809.35,241
2565,1809.08,242
400,1807.69,243
287,1807.03,244
4888,1806.99,245
1759,1805.24,246
3008,1802.76,247
569,1801.24,248
385,1797.44,249
6156,1793.34,250
5159,1791.83,251
5581,1787.93,252
3325,1786.22,253
825,1783.45,254
1924,1783.32,255
2952,1782.1,256
5877,1781.94,257
3113,1780.67,258
26,1780.35,259
3879,1780.26,260
2009,1780.22,261
4003,1778.81,262
3940,1773.52,263
6385,1769.05,264
6546,1768.78,265
3185,1766.74,266
2111,1764.93,267
4880,1762.29,268
762,1757.93,269
3975,1755.5,270
2057,1751.67,271
3659,1746.81,272
334,1746.01,273
555,1742.19,274
113,1739.8,275
6068,1738.79,276
5209,1738.05,277
4656,1737.83,278
6097,1735.18,279
1655,1734.52,280
5292,1733.39,281
2439,1732.65,282
5437,1730.04,283
2657,1728.38,284
1852,1727.87,285
3709,1727.18,286
162,1716.62,287
5224,1716.27,288
3908,1711.22,289
4483,1708.84,290
2765,1708.66,291
1628,1706.88,292
4072,1705.9,293
1737,1702.96,294
5832,1701.58,295
18,1701.06,296
2936,1699.26,297
318,1697.83,298
4980,1694.17,299
2122,1693.79,300
3212,1692.87,301
2947,1692.06,302
6262,1691.21,303
4813,1686.15,304
4790,1686.07,305
3952,1683.57,306
396,1682.13,307
282,1679.61,308
5447,1679.15,309
1406,1677.4,310
1183,1675.77,311
1937,1673.15,312
4867,1672.2,313
3395,1672.15,314
2230,1671.61,315
3898,1667.71,316
3434,1666.86,317
4875,1665.87,318
6109,1665.57,319
4325,1665.14,320
2983,1664.15,321
5213,1660.84,322
2642,1657.89,323
4699,1657.27,324
960,1656.05,325
2880,1655.74,326
5299,1650,327
3800,1647.73,328
3705,1646.59,329
3490,1641.53,330
3944,1641.34,331
5484,1640,332
3448,1639.84,333
5767,1639.12,334
4681,1638.68,335
2080,1635.41,336
1233,1634.6,337
4650,1634.33,338
1271,1632.59,339
2925,1629.19,340
4438,1628.95,341
1110,1627.27,342
2222,1625.4,343
3332,1624.09,344
5881,1624.06,345
2014,1623.28,346
6373,1619.54,347
4103,1617.63,348
678,1614.95,349
3917,1614.12,350
2877,1613.26,351
472,1612.24,352
3088,1611.75,353
3453,1610.25,354
2684,1606.17,355
433,1602.99,356
1725,1602.1,357
3926,1600.18,358
2742,1599.04,359
431,1595.46,360
1526,1595.37,361
2130,1593.79,362
4436,1593.18,363
4868,1590.93,364
5577,1589.31,365
744,1587.14,366
1320,1585.75,367
1672,1580.98,368
5152,1579.78,369
6299,1578.46,370
6444,1577.34,371
2076,1576.87,372
289,1574.32,373
4517,1573.37,374
2053,1572.63,375
5819,1571.84,376
1699,1571.42,377
5096,1571.27,378
4257,1567.84,379
6074,1567.75,380
3574,1566.42,381
411,1566.14,382
1667,1563.97,383
5443,1561.37,384
819,1558.9,385
6422,1558.26,386
3224,1555.71,387
6644,1555.41,388
6187,1555.24,389
6049,1553.22,390
6585,1550.72,391
5317,1550.44,392
1934,1549.93,393
2264,1548.27,394
6632,1548.2,395
3663,1546.53,396
4949,1545.37,397
4718,1543.45,398
5311,1541.92,399
2607,1541.07,400
4420,1540.71,401
6430,1539.41,402
6198,1538.58,403
3643,1536.84,404
3203,1535.48,405
1015,1532.74,406
1090,1529.42,407
2139,1529.25,408
3071,1528.74,409
6128,1528.7,410
3003,1526.97,411
119,1526.74,412
2135,1525.82,413
1856,1524.9,414
1633,1523.71,415
2063,1523.31,416
5734,1522.93,417
3955,1518.2,418
264,1514.43,419
3365,1513.44,420
466,1512.65,421
5658,1510.06,422
1695,1508.38,423
5750,1508.13,424
2087,1506.11,425
1658,1504.75,426
5726,1504.48,427
1611,1504.48,428
2651,1503.76,429
2843,1503.23,430
2158,1502.52,431
813,1501.2,432
4193,1499.56,433
4338,1497.65,434
5681,1497.35,435
43,1493.97,436
2002,1493.66,437
1975,1492.51,438
5281,1491.87,439
4822,1491.53,440
5479,1490.34,441
6431,1488.06,442
4864,1487.74,443
6541,1486.65,444
306,1486.16,445
2595,1486.02,446
2309,1485.85,447
805,1485.81,448
2715,1485.17,449
1998,1482.68,450
6249,1481.46,451
3658,1481.26,452
1556,1481.12,453
871,1480.96,454
6377,1477.4,455
5944,1477.24,456
4887,1477.02,457
6331,1471.1,458
4173,1470.88,459
6625,1470.74,460
3082,1468.91,461
777,1468.52,462
82,1468.28,463
5725,1468.21,464
2413,1467.46,465
5438,1463.85,466
2245,1463.57,467
2162,1462.9,468
2310,1461.45,469
2387,1460.51,470
6112,1458.99,471
3392,1458.95,472
624,1458.38,473
189,1456.48,474
4720,1456.35,475
663,1456.25,476
1378,1455.08,477
585,1454.76,478
4897,1454.76,479
4311,1452.49,480
1908,1450.85,481
4971,1449.62,482
508,1448.14,483
6079,1447.27,484
6568,1440.47,485
6545,1440.34,486
3047,1440.05,487
3938,1439.9,488
5442,1439.38,489
5717,1439.04,490
786,1438.78,491
2023,1436.31,492
4704,1434.85,493
128,1433.43,494
6263,1430.26,495
5463,1430.03,496
2470,1429.65,497
2471,1429.52,498
4782,1428.7,499
4758,1428.1,500
3239,1423.95,501
3062,1423.54,502
800,1423.22,503
2691,1423.08,504
2496,1423.03,505
5924,1421.95,506
5364,1421.66,507
6615,1420.63,508
3522,1419.61,509
4493,1418.57,510
4896,1416.9,511
1263,1415.82,512
167,1415.45,513
1862,1415.35,514
2469,1415.02,515
5886,1414.56,516
